"HolderAddress","Balance","PendingBalanceUpdate"
"0x2ed846fea144216cccb58ae3654eac4b1b304d47","7.3513417992759E-05","No"
"0xfd7a73e6aeca1ffa331cc6d21fc1fef100f8be2b","0.0322896472864453","No"
"0xf5c19848671085eca7ff661128c9d479d52760ee","50","No"
"0x1217eedfa2979d249713ccef77caafa1bd6607e1","1960.95406155381","No"
"0x60116294a93f819aefdfbabb51a2ba66ab84c89a","500","No"
"0x3773a9aad934307bb65083b79ab51c14c095bf8d","14025","No"
"0x0a01da4b575417c1e759f9ca42652d65551e8858","74","No"
"0x6f2a5959dc8e9143fe1a0a1cfe67f81b94d2f6f8","9162","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x68eac304089cd9e6f25d6c517c2696b82b6ba8af","10","No"
"0x656a13da4de5e85a1cb7f6d0c4461bdb20d07fd0","4580","No"
"0x2414272a474621f239950dfc2e65aa070e10d941","20089","No"
"0x8bf214ad64f3e7304053c2859dcc5b49ef879348","30590","No"
"0xdf61ba50120d6cc4fcc6db3bc598cd16704ab922","124.9516","No"
"0x816d908ffa3039fd228ce481f14a17ec70b368fe","452","No"
"0xf21be3fdf6d538bff693257478f43be28f7ef785","129.561946015396","No"
"0xd54014878a14efa1d59d2a22d129eafb1b27d8b9","2926","No"
"0x918403accc9f319c724e9e57d016dba8ca6c7aae","0.679181849558861","No"
"0x0a92412c90a5135736af0fe39f83c1c4913f07bc","492.811174000013","No"
"0xae075d5cc1856f5b34525a760d2c823a069914ea","4451","No"
"0x447df2fc1b99ef0b7bdd419f75edaacf51253b4a","43","No"
"0xa4e36c0cf96e9fb95834c1982e001686260604db","5.14899865938563","No"
"0x98a21fc313310028340d2fc51c7ae070edb10e71","7","No"
"0x1d40fc9456a1e6f13f69615fee1cbcbe604b9167","0.542456876350292","No"
"0x69947eb90c7b50cfa6093c5fd6d08b6f811cf69b","2500","No"
"0x855a5b16782304d3382dd764ef69a10efbeb9a77","1E-18","No"
"0xfba09fb5326a7b42312b808cdb2ebefbc742edb0","7000","No"
"0xb2f4b16595e02a9721f97e3e30fb5bbbf73f5f54","577.290697065622","No"
"0x7f392a57cc504c64fc52994656a992ccfa13a2ab","3477","No"
"0xe0df66924be8f6e24879f1f6771470bdc0648086","1.2044221583842E-05","No"
"0xd57de9d5e4dfdb188e620733582c6e41de71db77","0.042162408205424","No"
"0xb4e8b280c3062438f2d71009e0298bf94c6d8202","9.345975469263","No"
"0xf40d844f18ceeb158472fa074b5706946f2bb643","1031","No"
"0x433ebef6392ccea70d0f31467da250a3c2ae2c4a","47746","No"
"0x2b77bf044bcbcf5d22bc394c46a520e7e9729138","161.020979719536","No"
"0x7527d54377bc9cf90a30a330e3e9e2a291c07003","5892","No"
"0x1d79182070d7b9bbb27f273713d3bbf21fc69b57","403","No"
"0x766445e101a5952a7313aef94ff79444302b2126","1E-18","No"
